id	filename	md5	size	state
44dfb6a5-e303-43de-b1b4-2598d7798ce1	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-6390-01A-11D-1697-05.gdc_hg38.txt	edf7e5af571682853fff5f1c5f50cf73	141302134	released
450d1a37-3f60-497c-8e51-1daa187bc132	jhu-usc.edu_GBM.HumanMethylation450.12.lvl-3.TCGA-4W-AA9R-01A-11D-A392-05.gdc_hg38.txt	64d324690d9c7fce77496ba336966d9c	141294925	released
8c34c33b-505a-493f-99f9-011f21dfbe5a	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-19-5953-01B-12D-1844-05.gdc_hg38.txt	8d04789c828329e98869143c4dda23de	141280617	released
de4bf381-4808-4318-9c1c-974df52378b3	jhu-usc.edu_GBM.HumanMethylation450.10.lvl-3.TCGA-19-A6J4-01A-11D-A33U-05.gdc_hg38.txt	2aa9646bf847cbb24f7c39a33089c303	141280170	released
c71b3ea1-d6ea-4c83-bdb8-ab57f279cd47	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-41-6646-01A-11D-1844-05.gdc_hg38.txt	a11751e0378fe82c9e6ffbc2be3faac9	141277046	released
a92c205a-65f2-4ddf-af26-7365e8a17ea3	jhu-usc.edu_GBM.HumanMethylation450.8.lvl-3.TCGA-06-6693-01A-11D-1844-05.gdc_hg38.txt	45953494baa74c9e0737688a32be21e0	141279840	released
8df6f211-9fb7-4fef-8153-1762a0175749	jhu-usc.edu_GBM.HumanMethylation450.10.lvl-3.TCGA-RR-A6KC-01A-31D-A33U-05.gdc_hg38.txt	be56a55192e972c86a95a6e4c9b69e85	141278062	released
9d5e1554-95cd-4ced-9b51-19e0b42d4b31	jhu-usc.edu_GBM.HumanMethylation450.2.lvl-3.TCGA-06-0171-02A-11D-2004-05.gdc_hg38.txt	6955a67ab70c840a668b49a42d4dae71	141286194	released
2b3508db-a13d-4109-a742-27d7f77fd5a7	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-19-5951-01A-11D-1697-05.gdc_hg38.txt	28e2a0c169094d0be46c9922a45a3b39	141193014	released
554af58b-b34d-4a27-9fe8-8499cb5c55d6	jhu-usc.edu_GBM.HumanMethylation450.7.lvl-3.TCGA-06-6391-01A-11D-1697-05.gdc_hg38.txt	6b62946fb862c50e4e3c3f40ff00db0c	141293348	released
